# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: C:\Users\Emanuel-notebook\Desktop\FPGA proyecto final\2019-03-18\prototipo1\prototipo1_pin_assignment.csv
# Generated on: Tue Mar 19 08:43:31 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AUD_ADCDAT,Input,PIN_D2,1,B1_N0,PIN_D2,2.5 V,,,,,
AUD_ADCLRCK,Output,PIN_C2,1,B1_N0,PIN_C2,2.5 V,,,,,
AUD_BCLK,Output,PIN_F2,1,B1_N1,PIN_F2,2.5 V,,,,,
AUD_DACDAT,Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
AUD_DACLRCK,Output,PIN_E3,1,B1_N0,PIN_E3,2.5 V,,,,,
AUD_XCK,Output,PIN_E1,1,B1_N0,PIN_E1,2.5 V,,,,,
clock_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
display_7seg[41],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
display_7seg[40],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
display_7seg[39],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
display_7seg[38],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
display_7seg[37],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
display_7seg[36],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
display_7seg[35],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
display_7seg[34],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
display_7seg[33],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
display_7seg[32],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
display_7seg[31],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
display_7seg[30],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
display_7seg[29],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
display_7seg[28],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
display_7seg[27],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
display_7seg[26],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
display_7seg[25],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
display_7seg[24],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
display_7seg[23],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
display_7seg[22],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
display_7seg[21],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
